"x"
"1" "Mario"
"2" "Luigi"
"3" "Peach"
"4" "Bowser"
"5" "Dr. Mario"
"6" "Rosalina & Luma"
"7" "Bowser Jr."
"8" "Roy"
"9" "Bowser"
"10" "Yoshi"
"11" "Donkey Kong"
"12" "Diddy Kong"
"13" "Zelda"
"14" "Ganondorf"
"15" "Sheik"
"16" "Young Link"
"17" "Toon Link"
"18" "Link"
"19" "Dark Samus"
"20" "Zero Suit Samus"
"21" "Samus"
"22" "Kirby"
"23" "Meta Knight"
"24" "King Dedede"
"25" "Fox"
"26" "Captain Falcon"
"27" "Falco"
"28" "Wolf"
"29" "Pikachu"
"30" "Jigglypuff"
"31" "Pichu"
"32" "Mewtwo"
"33" "Pokémon Trainer"
"34" "Lucario"
"35" "Greninja"
"36" "Ness"
"37" "Lucas"
"38" "Ice Climbers"
"39" "Marth"
"40" "Roy"
"41" "Ike"
"42" "Lucina"
"43" "Robin"
"44" "Corrin"
"45" "Mr. Game & Watch"
"46" "Palutena"
"47" "Dark Pit"
"48" "Pit"
"49" "Wario"
"50" "Olimar"
"51" "R.O.B."
"52" "Villager"
"53" "Wii Fit Trainer"
"54" "Little Mac"
"55" "Shulk"
"56" "Duck Hunt"
"57" "Snake"
"58" "Sonic"
"59" "Mega Man"
"60" "Pac-Man"
"61" "Ryu"
"62" "Cloud"
"63" "Bayonetta"
"64" "Mii Brawler"
"65" "Mii Swordfighter"
"66" "Mii Gunner"
"67" "Daisy"
"68" "Piranha Plant"
"69" "King K. Rool"
"70" "Ridley"
"71" "Incineroar"
"72" "Chrom"
"73" "Isabelle"
"74" "Inkling"
"75" "Ken"
"76" "Simon"
"77" "Richter"
"78" "Joker"
"79" "Hero"
"80" "Banjo & Kazooie"
